X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
NaN	NaN	NaN	265.55	878.59	NaN	324.13	116.48	NaN	332.64	879.57	NaN	472.92	1015.2	NaN
NaN	NaN	NaN	266.19	880.49	NaN	324.52	117.53	NaN	334.92	882.42	NaN	471.99	1016	NaN
NaN	NaN	NaN	266.94	879.74	NaN	326.61	124.44	NaN	332.31	880.93	NaN	472.69	1016	NaN
NaN	NaN	NaN	267.37	881.01	NaN	325.31	117.3	NaN	334.56	882.85	NaN	473.28	1015.5	NaN
424.47	1021.4	NaN	NaN	NaN	NaN	326.12	117.96	NaN	295.05	880.37	NaN	NaN	NaN	NaN
417.77	1022.5	NaN	348.49	889.45	NaN	329.15	131.5	NaN	440.65	965.3	NaN	266.46	879.82	NaN
NaN	NaN	NaN	348.02	892.71	NaN	NaN	NaN	NaN	443.5	955.74	NaN	266.42	877.33	NaN
NaN	NaN	NaN	346.68	900	NaN	NaN	NaN	NaN	447.75	946.53	NaN	266.47	882.58	NaN
NaN	NaN	NaN	341.94	908.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	266.14	880.08	NaN
NaN	NaN	NaN	342.02	908.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	266.14	880.08	NaN
NaN	NaN	NaN	339.44	916.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	266.31	885.95	NaN
332.72	142.7	NaN	335.58	925.9	NaN	NaN	NaN	NaN	280.68	61.069	NaN	266.63	885.57	NaN
333.21	141.89	NaN	332.85	933.35	NaN	312.9	51.803	NaN	279.98	61.561	NaN	266.26	881.02	NaN
332.63	145.54	NaN	359.21	960.98	NaN	312.98	55.399	NaN	278.97	60.223	NaN	269.58	897.93	NaN
NaN	NaN	NaN	356.84	963.67	NaN	323.42	103.69	NaN	278.86	58.354	NaN	268.74	887.64	NaN
NaN	NaN	NaN	360.89	967.1	NaN	322.11	86.913	NaN	279.06	58.22	NaN	268.68	884.39	NaN
NaN	NaN	NaN	363.61	969.6	NaN	323.2	84.637	NaN	279.89	58.247	NaN	268.67	882.51	NaN
NaN	NaN	NaN	355.64	964.22	NaN	327.66	94.146	NaN	281.55	61.553	NaN	269.65	887.29	NaN
NaN	NaN	NaN	354.78	965.48	NaN	326.4	79.535	NaN	283.11	63.558	NaN	268.02	880.73	NaN
NaN	NaN	NaN	355.34	964.45	NaN	319.38	61.181	NaN	283.48	64.779	NaN	269.75	897.59	NaN
NaN	NaN	NaN	NaN	NaN	NaN	315.21	57.859	NaN	284.17	66.65	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	315.21	57.859	NaN	284.17	66.65	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	307.74	48.648	NaN	283.64	68.782	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	314.64	67.806	NaN	280.93	67.067	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	292.31	953.98	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	403.66	896.55	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	402.49	895.75	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	400.08	897.35	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	397.98	899.71	NaN	NaN	NaN	NaN
